"Dataset Name","Dataset Code","Country Name","Country Code","Indicator Name","Indicator Code","Metadata Attribute","Metadata Value","Frequency"
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in ECUs, US Dollars","RAXGFXARECU_USD","Indicator Short Name","Claims in ECUs, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in ECUs, US Dollars","RAXGFXARECU_USD","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in ECUs, US Dollars","RAXGFXARECU_USD","Indicator Unit","US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXAREURO, Unit: L",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","Indicator Code","RAXGFXAREURO_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","Indicator Concept","Claims in euro",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","Indicator CTS Code","RAXGFXAREURO",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","Indicator Display Name","Claims in euro",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Allocated Reserves, Claims in euro, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","Indicator Key Indicator","Key Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","Indicator Name","Allocated Reserves, Claims in euro, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","Indicator SDMX Code","RAXGFXAREURO_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","Indicator SDMX Name","Allocated Reserves, Claims in Euro, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","Indicator Short Name","Claims in euro, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","Indicator Unit","US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in French francs, US Dollars","RAXGFXARFRF_USD","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXARFRF, Unit: L",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in French francs, US Dollars","RAXGFXARFRF_USD","Indicator Code","RAXGFXARFRF_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in French francs, US Dollars","RAXGFXARFRF_USD","Indicator Concept","Claims in French francs",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in French francs, US Dollars","RAXGFXARFRF_USD","Indicator CTS Code","RAXGFXARFRF",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in French francs, US Dollars","RAXGFXARFRF_USD","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in French francs, US Dollars","RAXGFXARFRF_USD","Indicator Display Name","Claims in French francs",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in French francs, US Dollars","RAXGFXARFRF_USD","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Allocated Reserves, Claims in French francs, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in French francs, US Dollars","RAXGFXARFRF_USD","Indicator Key Indicator","Other Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in French francs, US Dollars","RAXGFXARFRF_USD","Indicator Name","Allocated Reserves, Claims in French francs, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in French francs, US Dollars","RAXGFXARFRF_USD","Indicator SDMX Code","RAXGFXARFRF_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in French francs, US Dollars","RAXGFXARFRF_USD","Indicator SDMX Name","Allocated Reserves, Claims in French francs, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in French francs, US Dollars","RAXGFXARFRF_USD","Indicator Short Name","Claims in French francs, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in French francs, US Dollars","RAXGFXARFRF_USD","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in French francs, US Dollars","RAXGFXARFRF_USD","Indicator Unit","US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXARJPY, Unit: L",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","Indicator Code","RAXGFXARJPY_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","Indicator Concept","Claims in Japanese yen",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","Indicator CTS Code","RAXGFXARJPY",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","Indicator Display Name","Claims in Japanese yen",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Allocated Reserves, Claims in Japanese yen, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","Indicator Key Indicator","Key Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","Indicator Name","Allocated Reserves, Claims in Japanese yen, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","Indicator SDMX Code","RAXGFXARJPY_USD",""
